observation_date,CE16OV
2003-08-01,137549
2003-09-01,137609
2003-10-01,137984
2003-11-01,138424
2003-12-01,138411
2004-01-01,138472
2004-02-01,138542
2004-03-01,138453
2004-04-01,138680
2004-05-01,138852
2004-06-01,139174
2004-07-01,139556
2004-08-01,139573
2004-09-01,139487
2004-10-01,139732
2004-11-01,140231
2004-12-01,140125
2005-01-01,140245
2005-02-01,140385
2005-03-01,140654
2005-04-01,141254
2005-05-01,141609
2005-06-01,141714
2005-07-01,142026
2005-08-01,142434
2005-09-01,142401
2005-10-01,142548
2005-11-01,142499
2005-12-01,142752
2006-01-01,143150
2006-02-01,143457
2006-03-01,143741
2006-04-01,143761
2006-05-01,144089
2006-06-01,144353
2006-07-01,144202
2006-08-01,144625
2006-09-01,144815
2006-10-01,145314
2006-11-01,145534
2006-12-01,145970
2007-01-01,146028
2007-02-01,146057
2007-03-01,146320
2007-04-01,145586
2007-05-01,145903
2007-06-01,146063
2007-07-01,145905
2007-08-01,145682
2007-09-01,146244
2007-10-01,145946
2007-11-01,146595
2007-12-01,146273
2008-01-01,146378
2008-02-01,146156
2008-03-01,146086
2008-04-01,146132
2008-05-01,145908
2008-06-01,145737
2008-07-01,145532
2008-08-01,145203
2008-09-01,145076
2008-10-01,144802
2008-11-01,144100
2008-12-01,143369
2009-01-01,142152
2009-02-01,141640
2009-03-01,140707
2009-04-01,140656
2009-05-01,140248
2009-06-01,140009
2009-07-01,139901
2009-08-01,139492
2009-09-01,138818
2009-10-01,138432
2009-11-01,138659
2009-12-01,138013
2010-01-01,138438
2010-02-01,138581
2010-03-01,138751
2010-04-01,139297
2010-05-01,139241
2010-06-01,139141
2010-07-01,139179
2010-08-01,139438
2010-09-01,139396
2010-10-01,139119
2010-11-01,139044
2010-12-01,139301
2011-01-01,139250
2011-02-01,139394
2011-03-01,139639
2011-04-01,139586
2011-05-01,139624
2011-06-01,139384
2011-07-01,139524
2011-08-01,139942
2011-09-01,140183
2011-10-01,140368
2011-11-01,140826
2011-12-01,140902
2012-01-01,141584
2012-02-01,141858
2012-03-01,142036
2012-04-01,141899
2012-05-01,142206
2012-06-01,142391
2012-07-01,142292
2012-08-01,142291
2012-09-01,143044
2012-10-01,143431
2012-11-01,143333
2012-12-01,143330
2013-01-01,143292
2013-02-01,143362
2013-03-01,143316
2013-04-01,143635
2013-05-01,143882
2013-06-01,143999
2013-07-01,144264
2013-08-01,144326
2013-09-01,144418
2013-10-01,143537
2013-11-01,144479
2013-12-01,144778
2014-01-01,145150
2014-02-01,145134
2014-03-01,145648
2014-04-01,145667
2014-05-01,145825
2014-06-01,146247
2014-07-01,146399
2014-08-01,146530
2014-09-01,146778
2014-10-01,147427
2014-11-01,147404
2014-12-01,147615
2015-01-01,148145
2015-02-01,148045
2015-03-01,148128
2015-04-01,148511
2015-05-01,148817
2015-06-01,148816
2015-07-01,148830
2015-08-01,149181
2015-09-01,148826
2015-10-01,149246
2015-11-01,149463
2015-12-01,150128
2016-01-01,150653
2016-02-01,150939
2016-03-01,151218
2016-04-01,151074
2016-05-01,151132
2016-06-01,151223
2016-07-01,151554
2016-08-01,151779
2016-09-01,151761
2016-10-01,151793
2016-11-01,151954
2016-12-01,152157
2017-01-01,152152
2017-02-01,152480
2017-03-01,153065
2017-04-01,153255
2017-05-01,153069
2017-06-01,153318
2017-07-01,153569
2017-08-01,153503
2017-09-01,154286
2017-10-01,153609
2017-11-01,153805
2017-12-01,153904
2018-01-01,154425
2018-02-01,155197
2018-03-01,155214
2018-04-01,155312
2018-05-01,155652
2018-06-01,155762
2018-07-01,156146
2018-08-01,155504
2018-09-01,156015
2018-10-01,156391
2018-11-01,156721
2018-12-01,156817
2019-01-01,156487
2019-02-01,156863
2019-03-01,156701
2019-04-01,156625
2019-05-01,156821
2019-06-01,157232
2019-07-01,157529
2019-08-01,157829
2019-09-01,158339
2019-10-01,158545
2019-11-01,158629
2019-12-01,158845
2020-01-01,158508
2020-02-01,158714
2020-03-01,155353
2020-04-01,133185
2020-05-01,137173
2020-06-01,142342
2020-07-01,143779
2020-08-01,147245
2020-09-01,147620
2020-10-01,149931
2020-11-01,149934
2020-12-01,149975
2021-01-01,149852
2021-02-01,150189
2021-03-01,150644
2021-04-01,151081
2021-05-01,151535
2021-06-01,151734
2021-07-01,152773
2021-08-01,153250
2021-09-01,153843
2021-10-01,154475
2021-11-01,155530
2021-12-01,156099
2022-01-01,157115
2022-02-01,157598
2022-03-01,158206
2022-04-01,157891
2022-05-01,158378
2022-06-01,158094
2022-07-01,158258
2022-08-01,158735
2022-09-01,158810
2022-10-01,158684
2022-11-01,158507
2022-12-01,159259
2023-01-01,160217
2023-02-01,160395
2023-03-01,160812
2023-04-01,160974
2023-05-01,160796
2023-06-01,160979
2023-07-01,161183
2023-08-01,161475
2023-09-01,161442
2023-10-01,161211
2023-11-01,161886
2023-12-01,161124
2024-01-01,161190
2024-02-01,161013
2024-03-01,161425
2024-04-01,161495
2024-05-01,161164
2024-06-01,161155
2024-07-01,161219
2024-08-01,161425
2024-09-01,161802
2024-10-01,161456
2024-11-01,161183
2024-12-01,161661
2025-01-01,163895
2025-02-01,163307
2025-03-01,163508
2025-04-01,163969
2025-05-01,163273
2025-06-01,163366
